Article title	Section header	Previous context	Sentence	Follow-up context	Filler1	Rating1	Filler2	Rating2	Filler3	Rating3	Filler4	Rating4	Filler5	Rating5
How to Become a Free Software Hacker	Steps	 (...) 11. If you can, apply with your serious task to the Google's ""Summer of code"" to get some money from this adventure. But just do not care if the application would not be accepted as they have far less funded positions than really good hackers working around. 12.	Look for a suitable conference happening nearby (""Linux days"" or something similar) and try to present your project there (all ______, not just the part you are programming).	After you tell you are representing a serious Free / Open source project, the organizers frequently release you from the conference fee (if they do not, the conference is likely unsuitable anyway).	goals	2	changes	4	project	4	jobs	4	documents	4
How to Become a Respiratory Therapist	Steps	 (...) 5. Gain your cardio pulmonary resuscitation (CPR) certification and maintain it. (...) 6. Obtain a license if required by your state (some states do not require one yet). 	This ______ normally occurs when you graduate.	7. Apply for a job as a respiratory therapist.	restriction	2	qualification	3.5	certification	4	position	4.5	licensing	5
How to Get Rid of Powdery Mildew on Plants	Steps	 1. Mix 1 tablespoon baking soda with 1 gallon of tepid water. (...) 4. Repeat as necessary. *	This ______ changes the Ph balance on the surface of the plant, making it an unsuitable environment for powdery mildew to proliferate.		modification	2	solution	5	mixture	4.5	water	4.5	plant	2
How to Paint Latex	Airbrushing Latex	 (...) 5. Clean the airbrush tip before switching colors. (...) Then, press down on the button on the airbrush a few times to cycle water through the brush and clean it. (...) *	If you do not have access to an airbrush cleaner, you can submerge the tip in a ______ of warm water.	Pull and release the trigger on the airbrush a few times to circulate the water and clean the airbrush.	vapor	1.5	container	5	source	3.5	reservoir	3.5	bowl	3
How to File Your Own Divorce in Florida	Filing for Regular Dissolution of Marriage	 1. Locate the correct court. You must file in the circuit court for the county where you last lived as a married couple or in the county where either party currently resides. 	Draft a ______ of marriage petition.	You initiate divorce proceedings by filing a petition in the court.	dissolution	2	peace	1	bankruptcy	1.5	breakdown	3	validity	2.5
How to Screenprint a One Color T Shirt	Steps	 (...) 3. Block out the areas of the fabric that are not part of your design by the method of screenprinting of your choice. There are several options: (...) 4.	Use a squeegee to force one ______ of fabric dye or paint through the unblocked areas of the fabric to the T-shirt behind.	A squeegee is a rubber blade used especially for screenprinting.	colour	4.5	point	2	application	2.5	slice	3.5	tube	2.5
How to Make Eggnog	Method Two: Traditional Eggnog	 (...) 6. Add the milk. (...) You can add more later to adjust the consistency. 	If you're adding alcohol, you may not need any more ______.	* Some cooks recommend heating the milk and cream before adding to the egg mixture.	liquids	4.5	juice	1.5	notes	1.5	whiskey	3	milk	4.5
How to Dress Funky and Girly at the Same Time	Steps	 (...) 3. Put your hair into a messy bun or a cute ponytail. Or pull hair into a faux hawk if your feel like it. 	To do this, take your bangs or front ______ of hair, and comb tangles out.	Pull the front part back with a clip and push up for volume.	pile	3.5	lines	1.5	section	5	lobes	3	rows	1.5
How to Survive Black Friday	Intro	 Named for the day stores and retailers start ""getting in the black"" (turning a profit), Black Friday is the day following Thanksgiving. 	It is notorious for frustratingly long lines, thick crowds, and limited ______ of discount merchandise.	But despite this, it's a highly anticipated occasion as shoppers hunt for amazing bargains and hope they'll get incredibly low prices for more expensive items.	circulation	4	areas	3.5	quantities	5	buyers	2.5	appearances	4
How to Eat a Burrito	Tips	 * In this case, practice makes perfect. *	Have ______ of napkins on hand.	* Alternatively, tear off the top third of the wrapping so you can use the rest of the foil to ensure your burrito stays in it's tortilla.	thousands	1.5	bowls	2.5	groups	2.5	plenty	4	bundles	4.5
How to File a Motion to Set Aside a Default Judgment in Michigan District Courts	Completing section 1 of the “Motion and Affidavit” portion	 1. To complete section 1, read all of the steps and follow only the step that is most fitting to your situation. 2. Select box 1A, fill in the date the default was entered and mark the box (“answer” or “appear”) that applies to your situation ONLY if you were served with a default, and not a default judgment. (...) 	Select box 1B, fill in the date the default was entered and mark the box (“answer” or “appear”) that applies to your situation ONLY if you were served with a ______ of default judgment.	* Select ""answer"" if you did not respond to the court in a timely manner OR select ""appear"" if you were not present at your court date.	notice	5	system	2.5	disposition	4	failure	4	consequence	4
How to Throw a Party to Celebrate the End of Exams	Steps	 1.	Choose what ______ of party you want to host.	Some ideas are:	sort	3	size	4	place	1.5	day	3.5	family	1
How to Quit Drinking Alcohol	Steps	 (...) 2. Change your attitude about quitting! Remember, you're not being forced to give up a good friend who has treated you well. 	Instead, you are finally ridding yourself of an ______.	3. Try to pick some significant date to quit.	alcoholism	3.5	inhibition	4	enemy	4	obsession	3.5	alcoholic	4
How to Travel Around New Zealand With Less Money and More Fun	Steps	 (...) 2. Find the internet. (...) It's in the throes of being discussed, but there's a way to go yet. 3.	If it's raining (and this is inevitable in some ______ of New Zealand), look for indoor activities.	Many towns have museums, activity centres, kid's entertainment, etc.	provinces	3	countries	1.5	communities	5	jurisdictions	4.5	parts	5
How to Discover Your Fighting Style	Finding Yourself as a Fighter (Any Discipline)	 (...) 5. Tape yourself fighting. (...) When you rewatch the fight, break down the footage into smaller parts. 	Watch once to pay attention to footwork, once to punches and offense, and once to watch your opponent's ______.	When you see a mistake, or a missed opportunity, hit pause and think about what you can do better next time.	opponent	1	maneuvers	4.5	progress	4	rhythm	4	strategy	3.5
How to Write a Song	Intro	 (...) Usually a song will tell some sort of story or communicate an overall idea. (...) Some songs are just silly or fun. 	Songs that are memorable typically have some ______ of ""hook"".	A hook can be just about anything, a word, a melody, a guitar lick, etc. that pulls the listener in and has them ""hooked"".	details	2	notes	2	sort	3.5	suggestion	1.5	intro	5
How to Make Sourdough Pancakes	Ingredients.	 (...) * 2 cups water * Flour (enough to make a gooey mix)(specify what kind, wheat or white or a mix of both. 	A mix would allow the pancake to rise faster when cooking and give it a slightly more airy ______ since white flour is lighter than wheat	Pancakes:	color	1	affect	4	atmosphere	3.5	smelling	1.5	taste	3.5
How to Make a Cupcake Wedding Cake	Steps	 1. Determine the number of guests. 	It is very important not to underestimate this ______; while not everyone will want a piece of traditional wedding cake, almost everyone will want a cupcake!	* Do you want enough for guests to have one cupcake at the wedding and one to take home?	plan	4	percentage	1.5	part	4.5	process	3.5	result	4
How to Travel With One Bag	Steps	 (...) 3. Pack using the ""bundle"" method: wrap clothes around large objects (such as bags of toiletries or pairs of shoes), rather than folding or rolling clothes. The bundle method saves the most space and also prevents wrinkling. 4.	Buy toiletries in miniature ______ or transfer liquid contents like shampoo into smaller travel bottles.	Save hotel/airplane toiletries so you can pack them the next time you travel.	bulk	3	bundles	3	sizes	5	units	4	boxes	4.5
How to Make a Macaroon Squishy	Steps	 1. Start with two round cosmetic sponges. 	Paint both of them ______ of the flavor you want.	3. Put a cotton ball in the middle of them.	products	2	part	2.5	shades	3	examples	1	color	3.5
How to Play Warhawk	Steps	 1. Be at least a little familiar with most of the instructions. Skim over the instructions for the basic game, the free add-on game modes (Collection & Hero), the descriptions of how to identify server/game types, and booster pack instructions. 	These ______ are all collected together at the Warhawk Wiki.	2. Choose if you want to play online, or if you have friends over have a LAN match.	codes	3.5	instructions	5	notes	3	documents	3	suggestions	4.5
How to Be Classy	Steps	 1. Choose your battles--and your friends. 	Few ______ are truly worth fighting.	Stand up for those who cannot stand up for themselves (mentally disabled, animals, children, etc).	battles	4	people	4.5	beasts	2.5	enemies	5	cities	2.5
How to Give a Presentation in Front of Your Teacher	Practicing for the Presentation	 1. Practice the presentation alone. (...) Doing so will help you identify any major problems with your presentation. 	Try to make this ______ as realistic as possible.	Stand up next to your presentation, as you plan to stand during the real thing.	result	2.5	presentation	4	practice	5	statement	4	discussion	4.5
How to Make a Simple Beverage Can Stove	Steps	 (...) 4. Create the top. (...) Repeat the process of making a dashed line described above in step 2. 	Make vertical slits in the ______ of the top of the stove.	These slits will help in putting the top into the base.	glass	1	cavity	3	surfaces	3.5	sides	4.5	interior	4
How to Calculate Probability	Converting Odds to Probabilities	 (...) 2. Convert the odds to probability. (...) * The event that the golfer will win is 9; the event that the golfer will lose is 4. 	The total ______ of outcomes is 9 + 4, or 13.	* Now the calculation is the same as calculating the probability of a single event.	result	4	vector	3.5	extent	3	number	5	size	2
